level,SP,MaxSPClass0,MaxSPClass1,MaxSPClass2
498,1231,0,0,0
499,1233,0,0,0
500,1235,0,0,0
501,1235,0,0,0
502,1238,0,0,0
503,1241,0,0,0
504,1244,0,0,0
505,1247,0,0,0
506,1250,0,0,0
507,1253,0,0,0
508,1256,0,0,0
509,1259,0,0,0
510,1262,0,0,0
511,1265,0,0,0
512,1268,0,0,0
513,1271,0,0,0
514,1274,0,0,0
515,1277,0,0,0
516,1280,0,0,0
517,1283,0,0,0
518,1286,0,0,0
519,1289,0,0,0
520,1292,0,0,0
521,1295,0,0,0
522,1298,0,0,0
523,1301,0,0,0
524,1304,0,0,0
525,1307,0,0,0
526,1310,0,0,0
527,1313,0,0,0
528,1316,0,0,0
529,1319,0,0,0
530,1322,0,0,0
531,1325,0,0,0
532,1328,0,0,0
533,1331,0,0,0
534,1334,0,0,0
535,1337,0,0,0
536,1340,0,0,0
537,1343,0,0,0
538,1346,0,0,0
539,1349,0,0,0
540,1352,0,0,0
541,1355,0,0,0
542,1358,0,0,0
543,1361,0,0,0
544,1364,0,0,0
545,1367,0,0,0
546,1370,0,0,0
547,1373,0,0,0
548,1376,0,0,0
549,1379,0,0,0
550,1382,0,0,0
551,1384,0,0,0
552,1386,0,0,0
553,1388,0,0,0
554,1390,0,0,0
555,1392,0,0,0
556,1394,0,0,0
557,1396,0,0,0
558,1398,0,0,0
559,1400,0,0,0
560,1402,0,0,0
561,1404,0,0,0
562,1406,0,0,0
563,1408,0,0,0
564,1410,0,0,0
565,1412,0,0,0
566,1414,0,0,0
567,1416,0,0,0
568,1418,0,0,0
569,1420,0,0,0
570,1422,0,0,0
571,1424,0,0,0
572,1426,0,0,0
573,1428,0,0,0
574,1430,0,0,0
575,1432,0,0,0
576,1434,0,0,0
577,1436,0,0,0
578,1438,0,0,0
579,1440,0,0,0
580,1442,0,0,0
581,1444,0,0,0
582,1446,0,0,0
583,1448,0,0,0
584,1450,0,0,0
585,1452,0,0,0
586,1454,0,0,0
587,1456,0,0,0
588,1458,0,0,0
589,1460,0,0,0
590,1462,0,0,0
591,1464,0,0,0
592,1466,0,0,0
593,1468,0,0,0
594,1470,0,0,0
595,1472,0,0,0
596,1474,0,0,0
597,1476,0,0,0
598,1478,0,0,0
599,1480,0,0,0
600,1482,0,0,0
601,1482,0,0,0
602,1485,0,0,0
603,1488,0,0,0
604,1491,0,0,0
605,1494,0,0,0
606,1497,0,0,0
607,1500,0,0,0
608,1503,0,0,0
609,1506,0,0,0
610,1509,0,0,0
611,1512,0,0,0
612,1515,0,0,0
613,1518,0,0,0
614,1521,0,0,0
615,1524,0,0,0
616,1527,0,0,0
617,1530,0,0,0
618,1533,0,0,0
619,1536,0,0,0
620,1539,0,0,0
621,1542,0,0,0
622,1545,0,0,0
623,1548,0,0,0
624,1551,0,0,0
625,1554,0,0,0
626,1557,0,0,0
627,1560,0,0,0
628,1563,0,0,0
629,1566,0,0,0
630,1569,0,0,0
631,1572,0,0,0
632,1575,0,0,0
633,1578,0,0,0
634,1581,0,0,0
635,1584,0,0,0
636,1587,0,0,0
637,1590,0,0,0
638,1593,0,0,0
639,1596,0,0,0
640,1599,0,0,0
641,1602,0,0,0
642,1605,0,0,0
643,1608,0,0,0
644,1611,0,0,0
645,1614,0,0,0
646,1617,0,0,0
647,1620,0,0,0
648,1623,0,0,0
649,1626,0,0,0
650,1629,0,0,0
651,1631,0,0,0
652,1633,0,0,0
653,1635,0,0,0
654,1637,0,0,0
655,1639,0,0,0
656,1641,0,0,0
657,1643,0,0,0
658,1645,0,0,0
659,1647,0,0,0
660,1649,0,0,0
661,1651,0,0,0
662,1653,0,0,0
663,1655,0,0,0
664,1657,0,0,0
665,1659,0,0,0
666,1661,0,0,0
667,1663,0,0,0
668,1665,0,0,0
669,1667,0,0,0
670,1669,0,0,0
671,1671,0,0,0
672,1673,0,0,0
673,1675,0,0,0
674,1677,0,0,0
675,1679,0,0,0
676,1681,0,0,0
677,1683,0,0,0
678,1685,0,0,0
679,1687,0,0,0
680,1689,0,0,0
681,1691,0,0,0
682,1693,0,0,0
683,1695,0,0,0
684,1697,0,0,0
685,1699,0,0,0
686,1701,0,0,0
687,1703,0,0,0
688,1705,0,0,0
689,1707,0,0,0
690,1709,0,0,0
691,1711,0,0,0
692,1713,0,0,0
693,1715,0,0,0
694,1717,0,0,0
695,1719,0,0,0
696,1721,0,0,0
697,1723,0,0,0
698,1725,0,0,0
699,1727,0,0,0
700,1729,0,0,0
701,1729,0,0,0
702,1732,0,0,0
703,1735,0,0,0
704,1738,0,0,0
705,1741,0,0,0
706,1744,0,0,0
707,1747,0,0,0
708,1750,0,0,0
709,1753,0,0,0
710,1756,0,0,0
711,1759,0,0,0
712,1762,0,0,0
713,1765,0,0,0
714,1768,0,0,0
715,1771,0,0,0
716,1774,0,0,0
717,1777,0,0,0
718,1780,0,0,0
719,1783,0,0,0
720,1786,0,0,0
721,1789,0,0,0
722,1792,0,0,0
723,1795,0,0,0
724,1798,0,0,0
725,1801,0,0,0
726,1804,0,0,0
727,1807,0,0,0
728,1810,0,0,0
729,1813,0,0,0
730,1816,0,0,0
731,1819,0,0,0
732,1822,0,0,0
733,1825,0,0,0
734,1828,0,0,0
735,1831,0,0,0
736,1834,0,0,0
737,1837,0,0,0
738,1840,0,0,0
739,1843,0,0,0
740,1846,0,0,0
741,1849,0,0,0
742,1852,0,0,0
743,1855,0,0,0
744,1858,0,0,0
745,1861,0,0,0
746,1864,0,0,0
747,1867,0,0,0
748,1870,0,0,0
749,1873,0,0,0
750,1876,0,0,0
751,1878,0,0,0
752,1880,0,0,0
753,1882,0,0,0
754,1884,0,0,0
755,1886,0,0,0
756,1888,0,0,0
757,1890,0,0,0
758,1892,0,0,0
759,1894,0,0,0
760,1896,0,0,0
761,1898,0,0,0
762,1900,0,0,0
763,1902,0,0,0
764,1904,0,0,0
765,1906,0,0,0
766,1908,0,0,0
767,1910,0,0,0
768,1912,0,0,0
769,1914,0,0,0
770,1916,0,0,0
771,1918,0,0,0
772,1920,0,0,0
773,1922,0,0,0
774,1924,0,0,0
775,1926,0,0,0
776,1928,0,0,0
777,1930,0,0,0
778,1932,0,0,0
779,1934,0,0,0
780,1936,0,0,0
781,1938,0,0,0
782,1940,0,0,0
783,1942,0,0,0
784,1944,0,0,0
785,1946,0,0,0
786,1948,0,0,0
787,1950,0,0,0
788,1952,0,0,0
789,1954,0,0,0
790,1956,0,0,0
791,1958,0,0,0
792,1960,0,0,0
793,1962,0,0,0
794,1964,0,0,0
795,1966,0,0,0
796,1968,0,0,0
797,1970,0,0,0
798,1972,0,0,0
799,1974,0,0,0
800,1976,0,0,0
801,1976,0,0,0
802,1979,0,0,0
803,1982,0,0,0
804,1985,0,0,0
805,1988,0,0,0
806,1991,0,0,0
807,1994,0,0,0
808,1997,0,0,0
809,2000,0,0,0
810,2003,0,0,0
811,2006,0,0,0
812,2009,0,0,0
813,2012,0,0,0
814,2015,0,0,0
815,2018,0,0,0
816,2021,0,0,0
817,2024,0,0,0
818,2027,0,0,0
819,2030,0,0,0
820,2033,0,0,0
821,2036,0,0,0
822,2039,0,0,0
823,2042,0,0,0
824,2045,0,0,0
825,2048,0,0,0
826,2051,0,0,0
827,2054,0,0,0
828,2057,0,0,0
829,2060,0,0,0
830,2063,0,0,0
831,2066,0,0,0
832,2069,0,0,0
833,2072,0,0,0
834,2075,0,0,0
835,2078,0,0,0
836,2081,0,0,0
837,2084,0,0,0
838,2087,0,0,0
839,2090,0,0,0
840,2093,0,0,0
841,2096,0,0,0
842,2099,0,0,0
843,2102,0,0,0
844,2105,0,0,0
845,2108,0,0,0
846,2111,0,0,0
847,2114,0,0,0
848,2117,0,0,0
849,2120,0,0,0
850,2123,0,0,0
851,2125,0,0,0
852,2127,0,0,0
853,2129,0,0,0
854,2131,0,0,0
855,2133,0,0,0
856,2135,0,0,0
857,2137,0,0,0
858,2139,0,0,0
859,2141,0,0,0
860,2143,0,0,0
861,2145,0,0,0
862,2147,0,0,0
863,2149,0,0,0
864,2151,0,0,0
865,2153,0,0,0
866,2155,0,0,0
867,2157,0,0,0
868,2159,0,0,0
869,2161,0,0,0
870,2163,0,0,0
871,2165,0,0,0
872,2167,0,0,0
873,2169,0,0,0
874,2171,0,0,0
875,2173,0,0,0
876,2175,0,0,0
877,2177,0,0,0
878,2179,0,0,0
879,2181,0,0,0
880,2183,0,0,0
881,2185,0,0,0
882,2187,0,0,0
883,2189,0,0,0
884,2191,0,0,0
885,2193,0,0,0
886,2195,0,0,0
887,2197,0,0,0
888,2199,0,0,0
889,2201,0,0,0
890,2203,0,0,0
891,2205,0,0,0
892,2207,0,0,0
893,2209,0,0,0
894,2211,0,0,0
895,2213,0,0,0
896,2215,0,0,0
897,2217,0,0,0
898,2219,0,0,0
899,2221,0,0,0
900,2223,0,0,0
901,2223,0,0,0
902,2226,0,0,0
903,2229,0,0,0
904,2232,0,0,0
905,2235,0,0,0
906,2238,0,0,0
907,2241,0,0,0
908,2244,0,0,0
909,2247,0,0,0
910,2250,0,0,0
911,2253,0,0,0
912,2256,0,0,0
913,2259,0,0,0
914,2262,0,0,0
915,2265,0,0,0
916,2268,0,0,0
917,2271,0,0,0
918,2274,0,0,0
919,2277,0,0,0
920,2280,0,0,0
921,2283,0,0,0
922,2286,0,0,0
923,2289,0,0,0
924,2292,0,0,0
925,2295,0,0,0
926,2298,0,0,0
927,2301,0,0,0
928,2304,0,0,0
929,2307,0,0,0
930,2310,0,0,0
931,2313,0,0,0
932,2316,0,0,0
933,2319,0,0,0
934,2322,0,0,0
935,2325,0,0,0
936,2328,0,0,0
937,2331,0,0,0
938,2334,0,0,0
939,2337,0,0,0
940,2340,0,0,0
941,2343,0,0,0
942,2346,0,0,0
943,2349,0,0,0
944,2352,0,0,0
945,2355,0,0,0
946,2358,0,0,0
947,2361,0,0,0
948,2364,0,0,0
949,2367,0,0,0
950,2370,0,0,0
951,2372,0,0,0
952,2374,0,0,0
953,2376,0,0,0
954,2378,0,0,0
955,2380,0,0,0
956,2382,0,0,0
957,2384,0,0,0
958,2386,0,0,0
959,2388,0,0,0
960,2390,0,0,0
961,2392,0,0,0
962,2394,0,0,0
963,2396,0,0,0
964,2398,0,0,0
965,2400,0,0,0
966,2402,0,0,0
967,2404,0,0,0
968,2406,0,0,0
969,2408,0,0,0
970,2410,0,0,0
971,2412,0,0,0
972,2414,0,0,0
973,2416,0,0,0
974,2418,0,0,0
975,2420,0,0,0
976,2422,0,0,0
977,2424,0,0,0
978,2426,0,0,0
979,2428,0,0,0
980,2430,0,0,0
981,2432,0,0,0
982,2434,0,0,0
983,2436,0,0,0
984,2438,0,0,0
985,2440,0,0,0
986,2442,0,0,0
987,2444,0,0,0
988,2446,0,0,0
989,2448,0,0,0
990,2450,0,0,0
991,2452,0,0,0
992,2454,0,0,0
993,2456,0,0,0
994,2458,0,0,0
995,2460,0,0,0
996,2462,0,0,0
997,2464,0,0,0
998,2466,0,0,0
999,2468,0,0,0
1000,2470,0,0,0
1001,2470,0,0,0
1002,2473,0,0,0
1003,2476,0,0,0
1004,2479,0,0,0
1005,2482,0,0,0
1006,2485,0,0,0
1007,2488,0,0,0
1008,2491,0,0,0
1009,2494,0,0,0
1010,2497,0,0,0
1011,2500,0,0,0
1012,2503,0,0,0
1013,2506,0,0,0
1014,2509,0,0,0
1015,2512,0,0,0
1016,2515,0,0,0
1017,2518,0,0,0
1018,2521,0,0,0
1019,2524,0,0,0
1020,2527,0,0,0
1021,2530,0,0,0
1022,2533,0,0,0
1023,2536,0,0,0
1024,2539,0,0,0
1025,2542,0,0,0
1026,2545,0,0,0
1027,2548,0,0,0
1028,2551,0,0,0
1029,2554,0,0,0
1030,2557,0,0,0
1031,2560,0,0,0
1032,2563,0,0,0
1033,2566,0,0,0
1034,2569,0,0,0
1035,2572,0,0,0
1036,2575,0,0,0
1037,2578,0,0,0
1038,2581,0,0,0
1039,2584,0,0,0
1040,2587,0,0,0
1041,2590,0,0,0
1042,2593,0,0,0
1043,2596,0,0,0
1044,2599,0,0,0
1045,2602,0,0,0
1046,2605,0,0,0
1047,2608,0,0,0
1048,2611,0,0,0
1049,2614,0,0,0
1050,2617,0,0,0
1051,2619,0,0,0
1052,2621,0,0,0
1053,2623,0,0,0
1054,2625,0,0,0
1055,2627,0,0,0
1056,2629,0,0,0
1057,2631,0,0,0
1058,2633,0,0,0
1059,2635,0,0,0
1060,2637,0,0,0
1061,2639,0,0,0
1062,2641,0,0,0
1063,2643,0,0,0
1064,2645,0,0,0
1065,2647,0,0,0
1066,2649,0,0,0
1067,2651,0,0,0
1068,2653,0,0,0
1069,2655,0,0,0
1070,2657,0,0,0
1071,2659,0,0,0
1072,2661,0,0,0
1073,2663,0,0,0
1074,2665,0,0,0
1075,2667,0,0,0
1076,2669,0,0,0
1077,2671,0,0,0
1078,2673,0,0,0
1079,2675,0,0,0
1080,2677,0,0,0
1081,2679,0,0,0
1082,2681,0,0,0
1083,2683,0,0,0
1084,2685,0,0,0
1085,2687,0,0,0
1086,2689,0,0,0
1087,2691,0,0,0
1088,2693,0,0,0
1089,2695,0,0,0
1090,2697,0,0,0
1091,2699,0,0,0
1092,2701,0,0,0
1093,2703,0,0,0
1094,2705,0,0,0
1095,2707,0,0,0
1096,2709,0,0,0
1097,2711,0,0,0
1098,2713,0,0,0
1099,2715,0,0,0
1100,2717,0,0,0
1101,2717,0,0,0
1102,2720,0,0,0
1103,2723,0,0,0
1104,2726,0,0,0
1105,2729,0,0,0
1106,2732,0,0,0
1107,2735,0,0,0
1108,2738,0,0,0
1109,2741,0,0,0
1110,2744,0,0,0
1111,2747,0,0,0
1112,2750,0,0,0
1113,2753,0,0,0
1114,2756,0,0,0
1115,2759,0,0,0
1116,2762,0,0,0
1117,2765,0,0,0
1118,2768,0,0,0
1119,2771,0,0,0
1120,2774,0,0,0
1121,2777,0,0,0
1122,2780,0,0,0
1123,2783,0,0,0
1124,2786,0,0,0
1125,2789,0,0,0
1126,2792,0,0,0
1127,2795,0,0,0
1128,2798,0,0,0
1129,2801,0,0,0
1130,2804,0,0,0
1131,2807,0,0,0
1132,2810,0,0,0
1133,2813,0,0,0
1134,2816,0,0,0
1135,2819,0,0,0
1136,2822,0,0,0
1137,2825,0,0,0
1138,2828,0,0,0
1139,2831,0,0,0
1140,2834,0,0,0
1141,2837,0,0,0
1142,2840,0,0,0
1143,2843,0,0,0
1144,2846,0,0,0
1145,2849,0,0,0
1146,2852,0,0,0
1147,2855,0,0,0
1148,2858,0,0,0
1149,2861,0,0,0
1150,2864,0,0,0
1151,2866,0,0,0
1152,2868,0,0,0
1153,2870,0,0,0
1154,2872,0,0,0
1155,2874,0,0,0
1156,2876,0,0,0
1157,2878,0,0,0
1158,2880,0,0,0
1159,2882,0,0,0
1160,2884,0,0,0
1161,2886,0,0,0
1162,2888,0,0,0
1163,2890,0,0,0
1164,2892,0,0,0
1165,2894,0,0,0
1166,2896,0,0,0
1167,2898,0,0,0
1168,2900,0,0,0
1169,2902,0,0,0
1170,2904,0,0,0
1171,2906,0,0,0
1172,2908,0,0,0
1173,2910,0,0,0
1174,2912,0,0,0
1175,2914,0,0,0
1176,2916,0,0,0
1177,2918,0,0,0
1178,2920,0,0,0
1179,2922,0,0,0
1180,2924,0,0,0
1181,2926,0,0,0
1182,2928,0,0,0
1183,2930,0,0,0
1184,2932,0,0,0
1185,2934,0,0,0
1186,2936,0,0,0
1187,2938,0,0,0
1188,2940,0,0,0
1189,2942,0,0,0
1190,2944,0,0,0
1191,2946,0,0,0
1192,2948,0,0,0
1193,2950,0,0,0
1194,2952,0,0,0
1195,2954,0,0,0
1196,2956,0,0,0
1197,2958,0,0,0
1198,2960,0,0,0
1199,2962,0,0,0
1200,2964,0,0,0
1201,2964,0,0,0
1202,2967,0,0,0
1203,2970,0,0,0
1204,2973,0,0,0
1205,2976,0,0,0
1206,2979,0,0,0
1207,2982,0,0,0
1208,2985,0,0,0
1209,2988,0,0,0
1210,2991,0,0,0
1211,2994,0,0,0
1212,2997,0,0,0
1213,3000,0,0,0
1214,3003,0,0,0
1215,3006,0,0,0
1216,3009,0,0,0
1217,3012,0,0,0
1218,3015,0,0,0
1219,3018,0,0,0
1220,3021,0,0,0
1221,3024,0,0,0
1222,3027,0,0,0
1223,3030,0,0,0
1224,3033,0,0,0
1225,3036,0,0,0
1226,3039,0,0,0
1227,3042,0,0,0
1228,3045,0,0,0
1229,3048,0,0,0
1230,3051,0,0,0
1231,3054,0,0,0
1232,3057,0,0,0
1233,3060,0,0,0
1234,3063,0,0,0
1235,3066,0,0,0
1236,3069,0,0,0
1237,3072,0,0,0
1238,3075,0,0,0
1239,3078,0,0,0
1240,3081,0,0,0
1241,3084,0,0,0
1242,3087,0,0,0
1243,3090,0,0,0
1244,3093,0,0,0
1245,3096,0,0,0
1246,3099,0,0,0
1247,3102,0,0,0
1248,3105,0,0,0
1249,3108,0,0,0
1250,3111,0,0,0
1251,3113,0,0,0
1252,3115,0,0,0
1253,3117,0,0,0
1254,3119,0,0,0
1255,3121,0,0,0
1256,3123,0,0,0
1257,3125,0,0,0
1258,3127,0,0,0
1259,3129,0,0,0
1260,3131,0,0,0
1261,3133,0,0,0
1262,3135,0,0,0
1263,3137,0,0,0
1264,3139,0,0,0
1265,3141,0,0,0
1266,3143,0,0,0
1267,3145,0,0,0
1268,3147,0,0,0
1269,3149,0,0,0
1270,3151,0,0,0
1271,3153,0,0,0
1272,3155,0,0,0
1273,3157,0,0,0
1274,3159,0,0,0
1275,3161,0,0,0
1276,3163,0,0,0
1277,3165,0,0,0
1278,3167,0,0,0
